id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15869291,"Exceptionally beautiful, 1922 condo.",102871645,Megan,,Sloan Lake,39.74964868270931,-105.02716329964748,Entire home/apt,139,2,85,2018-09-29,4.05,1,169
15872243,Recently Remodeled & Close to Downtown Denver!,102899347,Javier,,Globeville,39.785242409317405,-104.98654902481027,Entire home/apt,230,2,69,2018-09-30,4.01,1,347
15872268,Capitol Hill Hi-Rise Condo - w/ parking and views,12744170,James,,Capitol Hill,39.73780228361381,-104.98198154040904,Entire home/apt,60,90,0,,,3,114
15874051,Big home in neighborhood close to Downtown Denver,334357,Shane,,Whittier,39.760942610872455,-104.96633742345118,Entire home/apt,220,5,4,2018-08-04,0.25,2,0
15885354,"Full Private Apartment, 10 min walk to light rail",103014250,Caroline,,Hampden,39.66674103801791,-104.92282973841839,Entire home/apt,62,2,19,2017-06-30,0.82,1,0
15897404,"BrooksTowerCondos: New furniture, carpet & SmartTV",89673435,Gerald,,CBD,39.74723685943641,-104.99614780877177,Entire home/apt,69,30,5,2018-07-06,0.26,2,365
15899223,*Pet Friendly* 1930s Tudor in Historic Highlands*,30968138,Erin,,Highland,39.76753218333297,-105.01506869806673,Entire home/apt,225,2,15,2018-09-23,0.68,1,257
15902411,Private Bedroom in Denver Mid Century Home (a),76623834,Jessica,,Northeast Park Hill,39.76250999112937,-104.90952113180062,Private room,60,1,67,2018-10-13,3.14,2,86
15903051,Modern loft in desired LoHi,77013126,Brad,,Highland,39.75670346204315,-105.01055196825375,Entire home/apt,129,7,43,2018-09-16,1.95,1,84
15903744,Recently Remodeled Basement Suite in Stapleton,102476782,Ann,,Stapleton,39.75664041334353,-104.89563757293632,Entire home/apt,85,3,27,2017-10-17,1.19,1,0
15912228,"BrooksTowerCondos: New SmartTV, furniture & carpet",89673435,Gerald,,CBD,39.74708592928313,-104.99703686480322,Entire home/apt,69,60,1,2017-10-02,0.08,2,365
15912872,☆South Gaylord Charm☆ 3 BR ☆Steps to Restaurants☆,55701422,Paul,,Washington Park,39.70051339224116,-104.96361520431729,Entire home/apt,150,2,48,2018-01-02,2.07,2,0
15920792,Downstairs guest room with bath,34223484,Karen / Kassidy,,Indian Creek,39.68856078216801,-104.897067385213,Private room,71,7,3,2018-08-18,0.13,2,74
15923862,Sunny and cozy 2 bedroom condo in Metro Denver,490360,Cher,,Montclair,39.73912503470989,-104.92017413113912,Entire home/apt,99,5,17,2018-08-28,0.78,1,235
15931423,Victorian Condo Experience with TONS To Do!,1940284,Meghan,,City Park West,39.741247492874166,-104.97274092064559,Private room,64,1,72,2018-05-06,3.20,1,0
15936910,"Modern, Bright City Retreat w/ Parking",99925821,Paul,,Jefferson Park,39.75797051303842,-105.02063423831721,Entire home/apt,175,1,15,2018-10-08,0.69,1,322
15940158,"Quiet, Comfortable spare furnished room closeby",103462467,Chandler,,Marston,39.636497396217734,-105.08966796531135,Private room,60,1,34,2018-09-18,1.92,1,89
15943259,Lots of Space,47147095,Rob,,North Park Hill,39.7557136176377,-104.93900319775996,Private room,55,1,9,2018-05-11,0.39,5,34
15948617,The Lavendar House,52017585,Rosalia,,Gateway - Green Valley Ranch,39.77553822696319,-104.75848166544691,Entire home/apt,120,1,37,2018-09-30,1.99,1,348
15948870,Enjoy Denver with easy access to FUN: Coors Fld! 1,100700623,Aneissa,,Five Points,39.752296516597376,-104.98153599500976,Private room,48,1,126,2018-10-03,5.42,6,348
15957321,"Charming Brick Home, 3B/2B",6807612,Sarah,,Berkeley,39.77238817707403,-105.03302265150094,Entire home/apt,249,2,34,2018-09-23,1.55,2,59
15957569,Newly Renovated Centrally Located,103620543,Allison,,Montclair,39.73902565918907,-104.91976032708116,Private room,39,2,0,,,1,0
15957767,Enjoy the FUN that is Denver and the Rockies! 4,100700623,Aneissa,,Five Points,39.75286932862355,-104.98336427837589,Private room,48,1,186,2018-10-04,7.97,6,336
15968808,Bright + Comfortable + Convenient,103719091,Gary,,North Park Hill,39.75512558967486,-104.92455827840087,Entire home/apt,250,3,36,2018-10-07,1.63,1,341
15971104,Modern penthouse in Riverfront Park,77607187,Jesse,,Union Station,39.756228873951024,-105.00525431908824,Entire home/apt,100,2,1,2016-11-17,0.04,1,0
15981788,"Lower Highlands, Bright, Clean, Modern and Cozy",10678321,Travis,,Highland,39.759730959188644,-105.01474705432841,Entire home/apt,350,4,4,2018-04-20,0.24,1,89
15989734,Charming Washington Park Single Family Home,25549082,Danielle,,Washington Park West,39.70075742531436,-104.98673056755152,Entire home/apt,125,2,25,2018-09-30,2.63,2,19
15999220,New 4 Level Townhome Close to Downtown,1093754,Darren,,Five Points,39.75192080098645,-104.9764773578335,Entire home/apt,325,2,2,2017-08-16,0.12,2,219
16003280,Perfect Overnight Private Room near DIA,77997948,Staci,,Gateway - Green Valley Ranch,39.77803239963151,-104.77748488229632,Private room,65,1,66,2018-09-30,2.89,1,20
16012218,Luxury Living near Downtown Denver,12706357,Janna,,Sloan Lake,39.74830585835473,-105.0382429141763,Entire home/apt,235,2,34,2018-08-05,1.55,5,263
16025874,Spacious Modern Home Sleeps 10!,73966189,David,,South Park Hill,39.74360688186511,-104.90803166567376,Entire home/apt,199,1,74,2018-08-26,3.46,1,0
16026113,4BR 3394 s.f. on Zuni-Walk to LOHI-Mem. Foam Beds,102253730,Book Urban,,Highland,39.76400419136559,-105.01703245352964,Entire home/apt,450,1,15,2018-09-09,0.72,3,236
16026150,Entire House!  Charming Sunnyside Retreat!,8410190,Deanna,,Sunnyside,39.77223306072661,-105.00449897913013,Entire home/apt,125,2,5,2018-09-04,0.23,2,83
