id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30395033,2 King Beds! Near City Park/Denver Zoo/Downtown!,165671603,Darren,,Skyland,39.75654,-104.94158,Entire home/apt,149,1,40,2019-07-26,5.15,1,53
30398235,Denver uptown apt near 16th st mall balcony & pool,227323345,Revolution,,North Capitol Hill,39.74629,-104.97838,Entire home/apt,325,1,1,2018-12-05,0.13,2,330
30399009,Sophisticated City Escape | Close to DU,228261492,Alyssa,,Platt Park,39.69507,-104.98541,Entire home/apt,109,30,3,2019-02-25,0.45,1,146
30426760,Governor's Park Clean One Bedroom Suite,228437180,Gt,,Speer,39.72682,-104.98188,Entire home/apt,99,1,37,2019-07-20,4.72,1,28
30441312,Wash Park Carriage House,228560773,Chris,,Washington Park West,39.7106,-104.98279,Entire home/apt,125,30,16,2019-06-20,2.29,1,56
30445811,"1 Bedroom Apt by downtown, Denver",220877752,Aleksey,,Capitol Hill,39.72962,-104.98567,Entire home/apt,90,2,2,2019-01-01,0.28,1,0
30462500,Spacious 1BR house near downtown w/ lots of light,228704245,Russell,,Hale,39.73824,-104.93235,Entire home/apt,400,1,28,2019-06-22,3.73,1,241
30463025,RiNo Neighborhood Studio - Great for all travelers,33613383,Ellyce,,Cole,39.76924,-104.9704,Entire home/apt,65,1,71,2019-07-26,9.51,1,102
30466371,Spacious 2 bedroom duplex near Sloan's Lake,13759432,Nathan,,West Highland,39.76049,-105.05237,Entire home/apt,115,25,2,2018-12-16,0.26,1,152
30482812,Dream Home - West Wash Park / South Broadway,23358512,Anne & Ray,,Speer,39.71575,-104.98172,Entire home/apt,160,2,29,2019-07-17,3.87,1,213
30500984,Downtown Condo! Free Parking & Oodles of Amenities,228907005,Kyle & Randi,,Union Station,39.75027,-104.99627,Entire home/apt,999,1,33,2019-07-21,5.00,1,1
30508140,Sloan's Lake Condo in Heart of St. Anthony’s Redevelopment-A,217509494,Richard,,West Colfax,39.74162,-105.03837,Entire home/apt,150,1,19,2019-07-27,2.59,5,346
30508451,Newly Remodeled 1-BR Apt in Baker/West Wash Park,113390320,Anne,,Speer,39.71681,-104.98643,Entire home/apt,100,3,16,2019-07-05,2.32,1,25
30525465,Great downtown Denver location. Walk everywhere!,35094008,Daniel,,CBD,39.74654,-104.99452,Entire home/apt,125,1,20,2019-05-04,2.59,1,0
30526158,West Highlands Cozy Carriage Cottage,229066219,Jess,,West Highland,39.76541,-105.04272,Entire home/apt,128,3,10,2019-07-24,1.41,1,145
30530289,3-Story Lux Bachelor Party Pad w Private Roof Deck,96032444,Skyler,,Five Points,39.75972,-104.97796,Entire home/apt,388,2,7,2019-06-01,1.42,2,114
30530431,Upscale Home in Trendy City Park (Great Location!),163600124,Chris & Jen,,City Park West,39.74919,-104.96507,Entire home/apt,221,1,29,2019-07-18,4.42,3,153
30531072,"Amazing, Relaxing Room w/ Perfect View of Downtown",90120957,Robert,,Valverde,39.72329,-105.0164,Private room,55,1,32,2019-07-21,4.25,23,85
30531086,Spacious suite with spa bathroom near Wash Park!,229095817,Loftium,,Cory - Merrill,39.69449,-104.95703,Entire home/apt,80,1,65,2019-07-24,8.41,64,78
