id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
25136700,"Clean, modern, comfortable home close to downtown",33246667,Nish,,Cole,39.76288,-104.96126,Entire home/apt,125,2,0,,,1,168
25139072,Private bath/bed suite in Victorian near Downtown,73104882,Jennifer,,Sloan Lake,39.75366,-105.02818,Private room,47,1,13,2019-02-12,1.31,2,0
25141789,"Charming, Rennovated Historic Home in Denver",190023449,Darek And Kayla,,Highland,39.76641,-105.01542,Entire home/apt,250,3,51,2019-04-16,4.49,1,283
25163668,Quaint carriage house in the Berkeley Highlands,128594253,Corey,,Berkeley,39.774,-105.05121,Entire home/apt,80,2,16,2019-03-10,1.56,1,54
25182421,Fully Remodeled City Park Gem 5 min to Downtown!,89395360,Zack,,Clayton,39.76235,-104.94973,Entire home/apt,59,1,75,2019-04-18,6.68,1,158
25195731,Grandpa’s,177223604,Cherria,,Five Points,39.75703,-104.98338,Entire home/apt,101,30,35,2019-03-31,3.19,1,56
25205725,LOHI CARRIAGE HOUSE: NEAR DOWNTOWN / BRONCOS,19900156,Ryan,,Sunnyside,39.77257,-105.01125,Entire home/apt,129,2,27,2019-03-11,2.52,2,125
25206055,"Casa Zuri, bright open space with European touch",190450429,Tomas,,West Highland,39.76582,-105.03524,Entire home/apt,80,1,52,2019-04-15,4.64,1,145
25208932,"Entire Lower Level, Wash Park/Cap Hill/S. Broadway",115007644,Leigh,,Speer,39.72094,-104.98279,Private room,79,1,27,2019-04-22,2.40,1,24
25219351,Cozy King Bedroom with Casper mattress,11191536,Marc,,Skyland,39.75949,-104.95888,Private room,40,2,31,2019-04-24,2.90,2,0
25220803,5 Star Denver Highland Hospitality,14290993,Maggie,,Highland,39.76899,-105.02148,Entire home/apt,90,3,14,2019-04-11,1.34,3,129
25229354,Cap Hill Hideaway,151849004,Chris+Allison,,Speer,39.72553,-104.97799,Entire home/apt,119,2,28,2019-04-23,3.87,1,139
25232441,"Great for small groups, close to Mile High Stadium",14081620,Sarah,,Sloan Lake,39.74677,-105.0265,Private room,76,1,36,2019-04-21,3.25,2,176
25239175,"SE Denver Townhome - 2 Bed, 2.5 Bath",62949215,Brian,,Indian Creek,39.68386,-104.8941,Entire home/apt,82,3,26,2019-04-08,2.55,1,79
25242204,Cozy Denver Flat 1010,190724245,Persephone,,Civic Center,39.74035,-104.98946,Entire home/apt,94,1,31,2019-04-16,2.81,1,252
25253916,2 bedroom Condo with Rooftop Deck and Parking,16815406,Garrett & Sarah,,Capitol Hill,39.73425,-104.98255,Entire home/apt,209,2,21,2018-10-08,2.09,2,0
25256610,"Minutes to Downtown, Microbrews & Arts District!",30972487,Sabrina And Gary,,Clayton,39.76372,-104.95498,Entire home/apt,69,1,57,2019-04-22,5.17,5,1
25257591,Centrally located Private Suite Denver,190827059,Beth,,Montclair,39.72862,-104.90379,Entire home/apt,60,2,11,2019-03-31,1.07,1,105
25257667,"Stylish Tudor at Sloan's Lake, mins from Downtown",64185373,Shelley,,Sloan Lake,39.74924,-105.0356,Entire home/apt,119,2,29,2019-04-07,2.76,1,104
25261234,Casa Zuni,190630546,David,,Highland,39.76546,-105.0151,Entire home/apt,400,3,4,2019-03-16,0.65,1,264
25262577,The Denver Den in Mayfair Park | Enormous Backyard with Grill | Sleeps 7,190860832,Matt + Katherine,,Montclair,39.72915,-104.92079,Entire home/apt,119,2,29,2019-04-23,2.60,1,122
25264683,"Large, Sunny Space in the Heart of Denver",71572483,Susan,,Rosedale,39.67502,-104.97403,Private room,54,2,16,2019-04-14,1.50,3,338
25290541,Executive Townhome Near Downtown,181113145,Jennifer,,Highland,39.75829,-105.02096,Entire home/apt,195,2,29,2019-03-18,2.64,1,45
25290932,Simple room near downtown Denver,103695269,Jade,,Sloan Lake,39.75015,-105.02748,Private room,35,14,2,2018-06-16,0.18,1,0
25294023,Sleek Capitol Hill Apt with Rooftop Views,163527576,Kevin,,Capitol Hill,39.73142,-104.98599,Entire home/apt,109,1,6,2018-07-01,0.55,1,0
25294182,Dwtn Denver Home w/Yard - 1 Block from Light Rail!,151394248,Evolve,,West Colfax,39.73619,-105.0381,Entire home/apt,430,2,0,,,32,287
25309855,GORGEOUS - Minutes to Downtown&Mile High Stadium,140437558,Michele,,Jefferson Park,39.75157,-105.01985,Entire home/apt,185,1,29,2019-04-09,3.32,1,286
25318621,A Jewel on the corner of everything nice.,21139142,Cindy,,Berkeley,39.77011,-105.04386,Entire home/apt,100,2,47,2019-04-14,4.20,1,136
