id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11240044,House Downtown Denver “The Lily-Pad”,42241906,Greg,,Elyria Swansea,39.7785423799711,-104.94893209307926,Entire home/apt,96,1,86,2018-11-11,4.51,2,80
11241369,Beautiful Highlands Oasis,58623568,Sarah And Lindsay,,West Highland,39.76254213079812,-105.037862204215,Entire home/apt,275,1,204,2018-12-02,5.96,1,46
11250449,Conveniently located private room,58694928,Abbey,,Regis,39.790951912241155,-105.04826332238426,Private room,19,1,1,2016-04-03,0.03,1,0
11260243,Bryant Street Flat,17150354,Darci,,Highland,39.76231535643914,-105.02008048605767,Entire home/apt,175,5,4,2018-10-08,0.62,1,364
11277311,Private Room/Bath/Level of House,36382732,Teddy,,Capitol Hill,39.73683283288931,-104.98135455948251,Private room,75,1,151,2018-11-19,4.65,1,170
11279154,"Hip House Near City Park, Lightrail, RiNo",13997755,Jen,,Clayton,39.76877394123255,-104.9458253534905,Entire home/apt,129,3,7,2017-01-02,0.21,1,85
11280998,Entire Guest Suite with private entrance,44118875,Kat,,West Colfax,39.74010031389334,-105.03760550884783,Entire home/apt,75,1,21,2018-11-18,0.61,1,357
11295273,Private Entrance Guest Suite with parking,313516,Robin,,Capitol Hill,39.732352032896,-104.97430753505083,Entire home/apt,85,1,162,2018-12-17,4.73,1,354
11295755,Charming 1bdr Condo in Cheesman,58710500,Luke,,Cheesman Park,39.73770715329277,-104.96741232142205,Private room,80,1,2,2016-03-08,0.06,1,0
11304012,BallPark Warehouse Loft / Kids Free,40204323,Rick,,Five Points,39.755561117902765,-104.99177703512657,Entire home/apt,250,2,1,2016-04-05,0.03,1,0
11319596,Rooftop Deck City Views! 4 BEDS! Luxe 3 Story Loft,23594153,Patrick And Janet,,Five Points,39.751398053731954,-104.98961966628589,Entire home/apt,99,1,148,2018-12-05,4.35,7,110
11326090,"Couch Accommodations & Shared bathroom, W Denver!",12936597,Rachel,,Barnum West,39.717201130371095,-105.05041829789829,Private room,40,2,17,2016-10-31,0.50,3,0
11336016,Easy Walk to Downtown/Convention Center! 1 bedroom,29414054,Sally,,Capitol Hill,39.73879848930156,-104.9825133043679,Private room,70,1,152,2018-12-09,5.57,2,36
11338921,Downtown/Ballpark/Walkable/Top 11 Airbnb in Denver,52363049,Kristen,,Five Points,39.75270824812165,-104.989038669266,Entire home/apt,125,1,252,2018-12-16,7.35,1,313
11356130,Awesome Downtown Condo Sleeps 4!,2869051,Steven,,North Capitol Hill,39.74643330890284,-104.9831605108801,Entire home/apt,99,2,124,2018-12-06,3.63,2,149
11370833,Cozy remodeled Highlands Apartment,20565369,Elizabeth Heidi,,Highland,39.76628807958163,-105.01856870225467,Entire home/apt,85,4,28,2018-11-20,0.90,2,126
11377981,Monthly rental in University Hills,531267,Shelley,,University Hills,39.65534051699887,-104.92696011818556,Private room,25,30,8,2018-11-23,0.31,2,300
11400702,Southeast Denver home,59841492,Robin,,Hampden,39.6603433357518,-104.8768421414348,Private room,50,1,0,,,1,0
11412312,Modern Cherry Creek Getaway,46467544,Suraya,,Cherry Creek,39.71249796773795,-104.94635531993293,Entire home/apt,325,1,2,2016-05-01,0.06,1,25
11420270,Artist 1bdrm home. Heart of Rhino! Near Downtown.,37746616,Jessica,,Five Points,39.762234962571995,-104.9744592364849,Entire home/apt,120,2,70,2018-11-17,2.27,1,359
11469990,Modern 1 bdrm in West Wash Park,11000947,Kate,,Speer,39.713957283740484,-104.98164599188658,Entire home/apt,120,2,32,2018-10-21,0.93,1,0
11482047,The Carriage House!,10279860,Jourdan,,City Park West,39.74166520091451,-104.96048125657573,Entire home/apt,109,1,74,2018-12-06,4.87,7,19
11496933,Sunnyside Remodel Close to Downtown & 420 friendly,58878331,Wes,,Sunnyside,39.77235785033832,-105.0099302308045,Entire home/apt,185,1,80,2018-11-18,2.35,2,170
11509014,"Guest Suite - Bonnie Brae, Wash Park, DU Area",29863954,Susan,,Belcaro,39.699230345006555,-104.9589829078939,Entire home/apt,80,1,25,2018-10-21,1.80,2,85
11521979,Private Lock-off in RiNo (120+ Positive Reviews!),60744966,Jenna,,Five Points,39.7570897880726,-104.98577170955608,Entire home/apt,99,1,193,2018-12-16,6.16,1,167
11529607,Great room in great neighborhood,2505539,Chris,,Sunnyside,39.77177392352576,-105.01121091793223,Private room,39,1,1,2016-03-17,0.03,1,0
11531497,Sleek Hip Apartment in Capitol Hill,32618706,Zach,,Capitol Hill,39.73235623774054,-104.97307586280019,Entire home/apt,100,3,5,2016-07-13,0.15,1,0
11533087,Beautiful Home by City Park and Zoo,56416516,Jessica,,City Park West,39.74618459855492,-104.96242002741293,Entire home/apt,225,3,6,2017-05-17,0.19,1,0
11544160,Fully furnished lovely home (Phone number hidden by Airbnb) BFN (Phone number hidden by Airbnb),60910118,Jon And Carol,,Northeast Park Hill,39.77005647511675,-104.91842106826407,Entire home/apt,119,2,50,2018-09-30,1.53,1,357
11554688,"Modern, bright, new space close to Cherry Creek",27330105,Lisa,,Washington Virginia Vale,39.70557152185291,-104.9255338731808,Private room,75,2,16,2018-10-09,0.87,1,3
11555808,First basement bedroom in City Park West,1999626,Thomas,,City Park West,39.74890715166128,-104.96190047177875,Private room,35,1,68,2018-05-20,2.00,3,47
11590445,Get lofted!,61301463,Graciela,,Lincoln Park,39.73763330594578,-105.00153892972857,Private room,65,1,0,,,1,0
11602011,Close to everything you need studio,61391440,Melanie,,Cheesman Park,39.73658947364505,-104.9720006599906,Entire home/apt,65,1,17,2016-12-31,0.51,1,0
11603643,Old South Pearl Gem,9707720,Kate,,Platt Park,39.69066106461859,-104.97896679106164,Entire home/apt,150,2,0,,,1,0
11603999,Luxe Modern Highlands Home Sleeps 6!,61406380,Benjamin,,Jefferson Park,39.75622528698027,-105.01726414288119,Entire home/apt,179,1,117,2018-11-14,3.45,1,26
11627182,A Futon in Studio Area for Rent,33153062,Justice K,,Marston,39.633862203470265,-105.08821933241309,Shared room,45,1,4,2016-08-07,0.13,2,78
11627188,Futon/Couch to Rent,33153062,Justice K,,Marston,39.63451613302729,-105.08842511070138,Shared room,45,1,1,2016-05-16,0.03,2,365
11648840,Master Suite near Downtown,50013542,Cash,,West Colfax,39.73824368096767,-105.04016541776333,Private room,65,1,1,2018-08-19,0.24,2,0
11676326,"Cats and chardonnay, sunny, safe",62009334,Dee,,Virginia Village,39.694714111715214,-104.92611523037515,Private room,43,1,15,2018-09-15,0.50,1,363
11690656,420-Friendly Welcoming Plush Suite in 1939 Home,13832898,Cassie,,Hale,39.73932996840405,-104.93338383546399,Private room,100,2,161,2018-12-04,5.07,1,325
